keys,id-ID,en-US

line_01,"Halo disana! Perkenalkan namaku Piyan Apriyanto. Aku senang melakukan pengembangan game dan web, aku juga suka mempelajari banyak hal!",""
line_02,"Untuk pengembangan game, aku menggunakan Godot Game Engine dengan bahasa pemrograman GDscript atau C#.",""
line_03,"Untuk web frontend, aku bisa menggunakan React atau Vue, dengan Vite sebagai build system.",""
line_04,"Untuk backend, aku bisa menggunakan Express(js) atau Codeigniter 4(php).",""

line_08,"Selain suka pemrograman, aku juga suka melakukan design, aku sangat suka menggambar dengan tema retro pixel art.", ""

line_16,"Aku bisa membantumu dalam beberapa keahlian yang aku sebutkan tadi!",""
line_17,"Aku harap kita bisa bekerja sama dan membuat sesuatu yang istimewa bersama!",""
line_18,"Jadi, tunggu apa lagi!",""
line_19,"Hubungi aku di:",""
line_20,"<facebook> MochiPx.\n<discord id> #piyan0416.",""
line_21,"Datang ya, terimakasih!",""
